종목명,종목코드,시장,섹터코드,섹터명
KB제33호스팩,0072Z0,KOSDAQ,S99,기타
KD,044180,KOSDAQ,S99,기타
KG에코솔루션,151860,KOSDAQ,S99,기타
KG이니시스,035600,KOSDAQ,S99,기타
KG파이낸셜,046440,KOSDAQ,S99,기타
KH바텍,060720,KOSDAQ,S99,기타
KNN,058400,KOSDAQ,S99,기타
KS인더스트리,101000,KOSDAQ,S99,기타
KT나스미디어,089600,KOSDAQ,S99,기타
KT밀리의서재,418470,KOSDAQ,S99,기타
KT지니뮤직,043610,KOSDAQ,S99,기타
KX,122450,KOSDAQ,S99,기타
KX하이텍,052900,KOSDAQ,S99,기타
KZ정밀,036560,KOSDAQ,S99,기타
LB세미콘,061970,KOSDAQ,S99,기타
LB인베스트먼트,309960,KOSDAQ,S99,기타
LIG아큐버,073490,KOSDAQ,S99,기타
LK삼양,225190,KOSDAQ,S99,기타
LSK아이로봇,091970,KOSDAQ,S99,기타
LS마린솔루션,060370,KOSDAQ,S99,기타
LS머트리얼즈,417200,KOSDAQ,S99,기타
LS티라유텍,322180,KOSDAQ,S99,기타
M83,476080,KOSDAQ,S99,기타
MDS테크,086960,KOSDAQ,S99,기타
NEW,160550,KOSDAQ,S99,기타
NE능률,053290,KOSDAQ,S99,기타
NHN KCP,060250,KOSDAQ,S99,기타
NHN벅스,104200,KOSDAQ,S99,기타
NICE인프라,063570,KOSDAQ,S99,기타
PN풍년,024940,KOSDAQ,S99,기타
PS일렉트로닉스,332570,KOSDAQ,S99,기타
RFHIC,218410,KOSDAQ,S99,기타
RF머트리얼즈,327260,KOSDAQ,S99,기타
RF시스템즈,474610,KOSDAQ,S99,기타
S&K폴리텍,091340,KOSDAQ,S99,기타
SAMG엔터,419530,KOSDAQ,S99,기타
SBI인베스트먼트,019550,KOSDAQ,S99,기타
SCL사이언스,246960,KOSDAQ,S99,기타
SDN,099220,KOSDAQ,S99,기타
SFA,056190,KOSDAQ,S99,기타
SFA넥셀,222080,KOSDAQ,S99,기타
SG,255220,KOSDAQ,S99,기타
SG&G,040610,KOSDAQ,S99,기타
SGA솔루션즈,184230,KOSDAQ,S99,기타
SGC E&C,016250,KOSDAQ,S99,기타
SKAI,357880,KOSDAQ,S99,기타
SM C&C,048550,KOSDAQ,S99,기타
SM Life Design,063440,KOSDAQ,S99,기타
SOOP,067160,KOSDAQ,S99,기타
SV인베스트먼트,289080,KOSDAQ,S99,기타
SY동아,041930,KOSDAQ,S99,기타
THE E&M,089230,KOSDAQ,S99,기타
TJ미디어,032540,KOSDAQ,S99,기타
TPC로보틱스,048770,KOSDAQ,S99,기타
TS인베스트먼트,246690,KOSDAQ,S99,기타
TS트릴리온,317240,KOSDAQ,S99,기타
YBM넷,057030,KOSDAQ,S99,기타
YTN,040300,KOSDAQ,S99,기타
YW,051390,KOSDAQ,S99,기타
iMBC,052220,KOSDAQ,S99,기타
